COD_ETU;Note : TLMI4604;RÃ©sultat : TLMI4604;Session : TLMI4604;AnnÃ©e : TLMI4604;Filière;Année;Module;Semestre
16000866;7;AC ;2;2020;MIP;2020;TLMI3204;S3
16000970;7;AC ;2;2020;MIP;2020;TLMI3204;S3
16001082;0;NRA;1;2020;MIP;2020;TLMI3204;S3
16001153;10;V  ;2;2020;MIP;2020;TLMI3204;S3
16001233;11;V  ;1;2020;MIP;2020;TLMI3204;S3
16001328;4;NV ;2;2020;MIP;2020;TLMI3204;S3
16001358;10;V  ;1;2018;MIP;2020;TLMI3204;S3
16001418;0;NRA;1;2020;MIP;2020;TLMI3204;S3
16001529;6;NV ;2;2020;MIP;2020;TLMI3204;S3
16001661;0;NRA;1;2020;MIP;2020;TLMI3204;S3
16001999;9;NV ;2;2020;MIP;2020;TLMI3204;S3
16002056;11.8;V  ;1;2019;MIP;2020;TLMI3204;S3
16004163;8;AC ;2;2020;MIP;2020;TLMI3204;S3
16005397;10.8;V  ;1;2019;MIP;2020;TLMI3204;S3
16005554;;;;;MIP;2020;TLMI3204;S3
17000924;11;V  ;1;2020;MIP;2020;TLMI3204;S3
17002059;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17002457;7;AC ;2;2020;MIP;2020;TLMI3204;S3
17004263;7;AC ;2;2020;MIP;2020;TLMI3204;S3
17004774;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17005751;7;AC ;2;2020;MIP;2020;TLMI3204;S3
17005966;0;NRA;1;2020;MIP;2020;TLMI3204;S3
17006009;2;NV ;2;2020;MIP;2020;TLMI3204;S3
17006032;10.8;V  ;1;2019;MIP;2020;TLMI3204;S3
17006196;;;;;MIP;2020;TLMI3204;S3
17006200;0;NRA;1;2020;MIP;2020;TLMI3204;S3
17006271;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17006307;11;V  ;1;2020;MIP;2020;TLMI3204;S3
17006316;12;V  ;1;2020;MIP;2020;TLMI3204;S3
17006327;14;V  ;1;2020;MIP;2020;TLMI3204;S3
17006339;10;V  ;2;2019;MIP;2020;TLMI3204;S3
17006345;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17006351;10;V  ;1;2020;MIP;2020;TLMI3204;S3
17006390;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17006394;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17006399;10;V  ;1;2020;MIP;2020;TLMI3204;S3
17006401;10;V  ;2;2020;MIP;2020;TLMI3204;S3
17006419;;;;;MIP;2020;TLMI3204;S3
17006427;10;V  ;2;2020;MIP;2020;TLMI3204;S3
