COD_ETU;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Filière;Année;Module;Semestre
18003275;;;;;MIPC;2019;TLMP3504;S3
18003299;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003319;;;;;MIPC;2019;TLMP3504;S3
18003339;7.4;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003385;;;;;MIPC;2019;TLMP3504;S3
18003403;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003407;;;;;MIPC;2019;TLMP3504;S3
18003414;11888;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003421;10.2;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003425;;;;;MIPC;2019;TLMP3504;S3
18003439;;;;;MIPC;2019;TLMP3504;S3
18003449;;;;;MIPC;2019;TLMP3504;S3
18003471;12788;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003482;0.6;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003487;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003493;13.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003503;;;;;MIPC;2019;TLMP3504;S3
18003510;11662;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003515;;;;;MIPC;2019;TLMP3504;S3
18003522;;;;;MIPC;2019;TLMP3504;S3
18003526;13072;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003535;4.9;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003538;;;;;MIPC;2019;TLMP3504;S3
18003544;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003549;7.5;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003556;12612;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003568;13126;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003571;13388;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003574;;;;;MIPC;2019;TLMP3504;S3
18003587;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003594;12058;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003599;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003606;;;;;MIPC;2019;TLMP3504;S3
18003713;;;;;MIPC;2019;TLMP3504;S3
18003734;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003755;7962;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003761;10376;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003767;12626;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003769;;;;;MIPC;2019;TLMP3504;S3
18003772;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003777;;;;;MIPC;2019;TLMP3504;S3
18003819;11022;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003823;6774;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003834;12176;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003835;11112;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003837;;;;;MIPC;2019;TLMP3504;S3
18003840;;;;;MIPC;2019;TLMP3504;S3
18003842;;;;;MIPC;2019;TLMP3504;S3
18003845;15284;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003861;6.4;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003863;;;;;MIPC;2019;TLMP3504;S3
18003867;;;;;MIPC;2019;TLMP3504;S3
18003869;12063;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003880;;;;;MIPC;2019;TLMP3504;S3
18003883;;;;;MIPC;2019;TLMP3504;S3
18003889;8;AC ;2;2019;MIPC;2019;TLMP3504;S3
18003891;2062;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003892;;;;;MIPC;2019;TLMP3504;S3
18003895;;;;;MIPC;2019;TLMP3504;S3
18003898;1.4;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003901;10;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003904;10112;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003910;;;;;MIPC;2019;TLMP3504;S3
18003915;;;;;MIPC;2019;TLMP3504;S3
18003919;;;;;MIPC;2019;TLMP3504;S3
18003922;;;;;MIPC;2019;TLMP3504;S3
18003924;12062;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003927;10.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003929;13126;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003934;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003941;7676;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003947;4662;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003949;10.9;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003953;;;;;MIPC;2019;TLMP3504;S3
18003954;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003957;12312;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003958;;;;;MIPC;2019;TLMP3504;S3
18003961;;;;;MIPC;2019;TLMP3504;S3
18003967;;;;;MIPC;2019;TLMP3504;S3
18003968;13212;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003970;11438;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003973;14026;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003977;;;;;MIPC;2019;TLMP3504;S3
18003981;9;AC ;2;2019;MIPC;2019;TLMP3504;S3
18003982;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003985;5;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003986;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003987;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003989;15088;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003990;;;;;MIPC;2019;TLMP3504;S3
18003992;;;;;MIPC;2019;TLMP3504;S3
18003993;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003994;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003997;11438;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003999;;;;;MIPC;2019;TLMP3504;S3
18004002;;;;;MIPC;2019;TLMP3504;S3
18004003;7.6;NV ;2;2019;MIPC;2019;TLMP3504;S3
18004004;;;;;MIPC;2019;TLMP3504;S3
18004005;10326;V  ;1;2019;MIPC;2019;TLMP3504;S3
18004007;;;;;MIPC;2019;TLMP3504;S3
18004009;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18004010;;;;;MIPC;2019;TLMP3504;S3
18004011;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18004012;10.6;V  ;1;2019;MIPC;2019;TLMP3504;S3
18004013;;;;;MIPC;2019;TLMP3504;S3
18004014;8.1;AC ;2;2019;MIPC;2019;TLMP3504;S3
18004015;11762;V  ;1;2019;MIPC;2019;TLMP3504;S3
18004016;;;;;MIPC;2019;TLMP3504;S3
18004017;7276;NV ;2;2019;MIPC;2019;TLMP3504;S3
18004018;;;;;MIPC;2019;TLMP3504;S3
